Age,Sex,City,Marial Status,Education,Working,Sector,Working Type,Experience,Income,Abroad Ex,Abroad year,12. Ne s?kl?kla çevrimici al??veri? yap?yorsunuz?,Devices,Preference Reasons,Shopping categories,Research before purchase,HepsiBurada,Trendyol,Gittigidiyor,sahibinden,n11,Yemeksepeti,aliexpress,migros sanal market,ebebek,amazon,teknosa,kitapyurdu,morhipo,çiçeksepeti,d&r,watsons,lcwaikiki,boyner,carrefoursa,epttavm,Getir,Banabi,Bakkaldan,Kapgel,Di?er,Payment Methods,allow Site to save card infos,Following campaign days,Free shipment effect decision,Al??veri?lerinizden önce fiyat kar??la?t?rmas? yapar m?s?n?z?,Size özel teklifler sunulmas? al??veri? karar?n?z? etkiler mi?,Al??veri?leriniz sonras? geri bildirim verir misiniz?,Aras Kargo,MNG Kargo,Sürat Kargo,Yurtiçi Kargo,PTT Kargo,UPS,Info Resources before purchase,Turkey based or no would affect,Physical place affect,Research before last purchase
0-18,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Kitap;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?;Ev E?yalar?,3-5 Saat,,Ayda birkaç kere,,,,,,,,,,Ayda birkaç kere,,,,,,,,,,,,,,Banka Kart?;Kredi Kart?,Arada Bir,S?k S?k,S?k S?k,Her Zaman,Bazen,Bazen,Bazen,S?k S?k,Bazen,S?k S?k,S?k S?k,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Hay?r,
19-25,Erkek,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Teknoloji / Elektronik;Çevrimici E?itim;Sportif ve Kültürel Faaliyet Biletleri;Finansal Hizmetler / Sigorta Al?m?,1 Saatten az,Y?lda birkaç kere,,,,Y?lda birkaç kere,,Y?lda birkaç kere,,,Y?lda birkaç kere,,,,,Y?lda birkaç kere,,,,,,,,,,,Kredi Kart?,S?k S?k,Bazen,S?k S?k,S?k S?k,Bazen,Bazen,Bazen,Bazen,Arada Bir,Bazen,Bazen,Arada Bir,Reklamlar;Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim,Hay?r,Hay?r,
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Kitap;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?,5 saatten fazla,,Haftada birkaç kere,,,Ayda birkaç kere,,,,,,,Ayda birkaç kere,,,,,,,,,,,,,,Kredi Kart?,S?k S?k,S?k S?k,S?k S?k,Her Zaman,Her Zaman,S?k S?k,Arada Bir,Arada Bir,S?k S?k,S?k S?k,S?k S?k,Her Zaman,Arkada?lar?n tavsiyeleri;Ürün üzerindeki bilgi etiketleri;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Hay?r,
19-25,Kad?n,Kocaeli,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme,Kitap;Ki?isel Bak?m & Kozmetik;Giyim / Ayakkab?;Ev E?yalar?,1 Saatten az,Y?lda birkaç kere,Ayda birkaç kere,,,,Ayda birkaç kere,,,,Y?lda birkaç kere,,Ayda birkaç kere,,,,,,,,,,,,,Ayda birkaç kere,Banka Kart?;Kap?da Ödeme,Arada Bir,S?k S?k,S?k S?k,Her Zaman,Her Zaman,S?k S?k,S?k S?k,Arada Bir,Arada Bir,Hiçbir Zaman,S?k S?k,Hiçbir Zaman,Reklamlar;Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,Güvenilir olup olmad???n? ve kalitesini anlamak için kullan?c? yorumlar?na bakt?m.
19-25,Kad?n,?stanbul,Bekar,Lisans,1,Endüstriyel üretim,Staj,1,2,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu,Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Kitap;Giyim / Ayakkab?,1 Saatten az,,Her gun,,,,,Ayda birkaç kere,,,,,Haftada birkaç kere,,,Ayda birkaç kere,Ayda birkaç kere,,,,,,,,,,Banka Kart?,S?k S?k,Her Zaman,Bazen,Her Zaman,Her Zaman,S?k S?k,S?k S?k,Arada Bir,Hiçbir Zaman,Arada Bir,Arada Bir,Hiçbir Zaman,Arkada?lar?n tavsiyeleri,Hay?r,Hay?r,??ime yaray?p yaramad???na bakt?m
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?,3-5 Saat,Y?lda birkaç kere,,,Y?lda birkaç kere,,Ayda birkaç kere,,,,,,Ayda birkaç kere,,Y?lda birkaç kere,,,,,,,,,,,,Banka Kart?;Kredi Kart?;Kap?da Ödeme;BKM,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Arada Bir,Bazen,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Bazen,Bazen,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Sat?? elemanlar?;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,En son çevrimiçi olarak kitap ald?m ve alaca??m kitaba dair bir ara?t?rma yapt?m daha çok. Sürekli kulland???m ve bilgilerimin ve adresimin zaten kay?tl? oldu?u bir siteden oldu?u için de çok ara?t?rma yapmad?m
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,4,6-12 Ay,2,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Teknoloji / Elektronik;Giyim / Ayakkab?;Ev E?yalar?;Seyahat(Ula??m / Konaklama),3-5 Saat,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,,,,,,,,,,,,,,,,,,,,Banka Kart?;Kredi Kart?;Kap?da Ödeme,Hiçbir Zaman,Bazen,S?k S?k,Her Zaman,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,"Reklamlar;Arkada?lar?n tavsiyeleri;?lan Panolar?, el ilanlar?, afi?ler v.b.;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri",Evet,Evet,Sat?n almak istedi?im ürün/hizmet için çe?itli çevrimiçi al??veri? platformlar?ndaki bütün alternatifleri inceledim.
0-18,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Haftada birkaç kere,Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,"Yemek Sipari?i;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Giyim / Ayakkab?",1 Saatten az,,,,,,Haftada birkaç kere,,,,,,,,,,,,,,,Haftada birkaç kere,Haftada birkaç kere,,,,Kap?da Ödeme,Hiçbir Zaman,Arada Bir,S?k S?k,Bazen,Bazen,Bazen,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Hiçbir Zaman,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Ürün kataloglar?;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri,Evet,Evet,
19-25,Erkek,?stanbul,Bekar,Lisans,0,,,,3,6-12 Ay,2,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar;Tablet,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim;Ev E?yalar?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Finansal Hizmetler / Sigorta Al?m?,3-5 Saat,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,,,,Y?lda birkaç kere,,Y?lda birkaç kere,,,Y?lda birkaç kere,,Y?lda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,,,,Banka Kart?;Kredi Kart?;Kap?da Ödeme,Hiçbir Zaman,Arada Bir,Bazen,Her Zaman,Bazen,S?k S?k,Bazen,Bazen,Bazen,Bazen,S?k S?k,Bazen,"Arkada?lar?n tavsiyeleri;Sat?? elemanlar?;Ürün kataloglar?;?lan Panolar?, el ilanlar?, afi?ler v.b.;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri",Hay?r,Hay?r,"Online ara?t?rma, sözlükler, bilgiler, çevreye dan??ma vs"
19-25,Erkek,?stanbul,Bekar,Lisans,0,,,,2,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar,"Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Kolay, bir yere gitmeye gerek yok. Tek t?kla al ve daha ucuz. ","Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Çevrimici E?itim",1 Saatten az,Y?lda birkaç kere,Y?lda birkaç kere,,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,,,,,,,Y?lda birkaç kere,,,,,,,,Y?lda birkaç kere,,,,Y?lda birkaç kere,Banka Kart?;Kredi Kart?;Kap?da Ödeme,Arada Bir,S?k S?k,S?k S?k,Her Zaman,Bazen,Bazen,Hiçbir Zaman,Bazen,Arada Bir,Arada Bir,Bazen,Hiçbir Zaman,"Reklamlar;Arkada?lar?n tavsiyeleri;Ürün kataloglar?;?lan Panolar?, el ilanlar?, afi?ler v.b.;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri;Ilgimi çektikten sonra açar okurum",Evet,Hay?r,"Hepsi buradan?n kar??la?t?r?n? kulland?m, yorumlar? okudum. Google a ürünün ad?n? yaz?p ba?ka kimler ne kadara koymu? ona bakt?m. Ali express te falan var m? diye özellikle bakt?m. Fiyat? biraz daha pahal? olmas?na ra?men hizmet kalitesinden ötürü (garanti, mü?teri hizmetleri VS) hepsiburaday? tercih ettim. Uçurum olsayd? fiyatta karar?m de?i?ebilirdi. Küçük farklar (300 TL'lik üründe 20-30 TL) sat?n alma karar?m? etkilemedi. 120 150 TL fark olsa etkilerdi. "
